model,fpr,tpr,threshold,curve,model_key,display_model,precision,recall
Ours,0.0,0.0,inf,ROC,ours_full,Ours,,
Ours,0.0,0.0006587615283267,0.99700767,ROC,ours_full,Ours,,
Ours,0.0,0.0151515151515151,0.98437285,ROC,ours_full,Ours,,
Ours,0.0,0.0164690382081686,0.9842673,ROC,ours_full,Ours,,
Ours,0.0,0.0909090909090909,0.95826536,ROC,ours_full,Ours,,
Ours,0.0001916810427448,0.0909090909090909,0.95821273,ROC,ours_full,Ours,,
Ours,0.0001916810427448,0.1317523056653491,0.95182157,ROC,ours_full,Ours,,
Ours,0.0001916810427448,0.1330698287220026,0.95158595,ROC,ours_full,Ours,,
Ours,0.0001916810427448,0.2826086956521739,0.9183885,ROC,ours_full,Ours,,
Ours,0.0005750431282346,0.2826086956521739,0.91759443,ROC,ours_full,Ours,,
Ours,0.0005750431282346,0.2898550724637681,0.91389126,ROC,ours_full,Ours,,
Ours,0.0007667241709794,0.2898550724637681,0.9132894,ROC,ours_full,Ours,,
Ours,0.0007667241709794,0.2971014492753623,0.9090454,ROC,ours_full,Ours,,
Ours,0.0009584052137243,0.2971014492753623,0.90868706,ROC,ours_full,Ours,,
Ours,0.0009584052137243,0.3050065876152832,0.9047568,ROC,ours_full,Ours,,
Ours,0.0011500862564692,0.3050065876152832,0.90470415,ROC,ours_full,Ours,,
Ours,0.0011500862564692,0.3748353096179183,0.84659624,ROC,ours_full,Ours,,
Ours,0.0013417672992141,0.3748353096179183,0.8458587,ROC,ours_full,Ours,,
Ours,0.0013417672992141,0.4057971014492754,0.8133355,ROC,ours_full,Ours,,
Ours,0.0015334483419589,0.4057971014492754,0.8117364,ROC,ours_full,Ours,,
Ours,0.0015334483419589,0.4407114624505929,0.77115023,ROC,ours_full,Ours,,
Ours,0.0017251293847038,0.4407114624505929,0.7704323,ROC,ours_full,Ours,,
Ours,0.0017251293847038,0.4769433465085639,0.72259146,ROC,ours_full,Ours,,
Ours,0.0019168104274487,0.4769433465085639,0.72160846,ROC,ours_full,Ours,,
Ours,0.0019168104274487,0.5,0.6914357,ROC,ours_full,Ours,,
Ours,0.0021084914701935,0.5,0.689428,ROC,ours_full,Ours,,
Ours,0.0021084914701935,0.5013175230566534,0.6887995,ROC,ours_full,Ours,,
Ours,0.0023001725129384,0.5013175230566534,0.6882099,ROC,ours_full,Ours,,
Ours,0.0023001725129384,0.502635046113307,0.687192,ROC,ours_full,Ours,,
Ours,0.0024918535556833,0.502635046113307,0.68617094,ROC,ours_full,Ours,,
Ours,0.0024918535556833,0.5105401844532279,0.6746315,ROC,ours_full,Ours,,
Ours,0.0026835345984282,0.5105401844532279,0.67450875,ROC,ours_full,Ours,,
Ours,0.0026835345984282,0.5191040843214756,0.66722995,ROC,ours_full,Ours,,
Ours,0.002875215641173,0.5191040843214756,0.6660857,ROC,ours_full,Ours,,
Ours,0.002875215641173,0.549407114624506,0.6332681,ROC,ours_full,Ours,,
Ours,0.0030668966839179,0.549407114624506,0.6330487,ROC,ours_full,Ours,,
Ours,0.0030668966839179,0.5527009222661396,0.63119304,ROC,ours_full,Ours,,
Ours,0.0032585777266628,0.5527009222661396,0.631171,ROC,ours_full,Ours,,
Ours,0.0032585777266628,0.5632411067193676,0.6199522,ROC,ours_full,Ours,,
Ours,0.0034502587694077,0.5632411067193676,0.61943346,ROC,ours_full,Ours,,
Ours,0.0034502587694077,0.5961791831357048,0.59210956,ROC,ours_full,Ours,,
Ours,0.0036419398121525,0.5961791831357048,0.5920555,ROC,ours_full,Ours,,
Ours,0.0036419398121525,0.6034255599472991,0.58502597,ROC,ours_full,Ours,,
Ours,0.0038336208548974,0.6034255599472991,0.5849523,ROC,ours_full,Ours,,
Ours,0.0038336208548974,0.6264822134387352,0.56559396,ROC,ours_full,Ours,,
Ours,0.0040253018976423,0.6264822134387352,0.5653488,ROC,ours_full,Ours,,
Ours,0.0040253018976423,0.6284584980237155,0.56404954,ROC,ours_full,Ours,,
Ours,0.0042169829403871,0.6284584980237155,0.56397134,ROC,ours_full,Ours,,
Ours,0.0042169829403871,0.6324110671936759,0.55636466,ROC,ours_full,Ours,,
Ours,0.004408663983132,0.6324110671936759,0.555314,ROC,ours_full,Ours,,
Ours,0.004408663983132,0.6396574440052701,0.5499349,ROC,ours_full,Ours,,
Ours,0.0046003450258769,0.6396574440052701,0.549871,ROC,ours_full,Ours,,
Ours,0.0046003450258769,0.642292490118577,0.5484349,ROC,ours_full,Ours,,
Ours,0.0047920260686218,0.642292490118577,0.54826856,ROC,ours_full,Ours,,
Ours,0.0047920260686218,0.6488801054018445,0.54164124,ROC,ours_full,Ours,,
Ours,0.0049837071113666,0.6488801054018445,0.5414964,ROC,ours_full,Ours,,
Ours,0.0049837071113666,0.6495388669301713,0.54093045,ROC,ours_full,Ours,,
Ours,0.0055587502396013,0.6495388669301713,0.53841895,ROC,ours_full,Ours,,
Ours,0.0055587502396013,0.658102766798419,0.5293026,ROC,ours_full,Ours,,
Ours,0.0057504312823461,0.658102766798419,0.5291853,ROC,ours_full,Ours,,
