model_key,model,group,threshold_protocol,threshold,val_afl_f1_at_threshold,n,n_af,n_afl,acc,afl_precision,afl_recall,afl_f1,macro_f1,auroc,auprc,tn,fp,fn,tp,cm
ours_full,Ours,main,validation-selected threshold maximizing AFL-F1 on validation probabilities,0.5303800106048584,0.797433547203906,6735,5217,1518,0.91818856718634,0.9717073170731698,0.6561264822134384,0.7833267793939341,0.8664506140039712,0.8612561346141365,0.833154207136342,5188,29,522,996,"[[5188, 29], [522, 996]]"
ours_neural_only_no_gate,Ours neural-only (post-hoc No Gate),posthoc_sensitivity,validation-selected threshold maximizing AFL-F1 on validation probabilities,0.7028599977493286,0.7924187725626812,6735,5217,1518,0.9138827023014106,0.969939879759518,0.6376811594202895,0.7694753577101726,0.8582633315849224,0.8575989158782868,0.8246764283642096,5187,30,550,968,"[[5187, 30], [550, 968]]"
ours_no_quality_input,Ours quality-masked (post-hoc No Quality),posthoc_sensitivity,validation-selected threshold maximizing AFL-F1 on validation probabilities,0.5705599784851074,0.7429078014179422,6735,5217,1518,0.9242761692650334,0.9649446494464936,0.6890645586297756,0.8039969254414809,0.8785350839944472,0.84749512779115,0.8244843009552681,5179,38,472,1046,"[[5179, 38], [472, 1046]]"
ours_fixed_fusion_alpha030,Ours fixed fusion alpha=0.30 (post-hoc),posthoc_sensitivity,validation-selected threshold maximizing AFL-F1 on validation probabilities,0.5548800230026245,0.8087831655987742,6735,5217,1518,0.9230883444691907,0.9708097928436903,0.6791831357048744,0.7992248062010653,0.8758291156811241,0.8615644910742044,0.834672461950728,5186,31,487,1031,"[[5186, 31], [487, 1031]]"
fuzzy_logits_only,Fuzzy logits only,rule_only,validation-selected threshold maximizing AFL-F1 on validation probabilities,0.2549999952316284,0.3570741097204688,6735,5217,1518,0.875426874536006,0.8017777777777771,0.5942028985507243,0.6825576995833168,0.8025331215199903,0.828511443913849,0.6781132403753297,4994,223,616,902,"[[4994, 223], [616, 902]]"
arnet2,ArNet2,baseline,validation-selected threshold maximizing AFL-F1 on validation probabilities,0.009999999776482582,0.1432738303580515,6734,5216,1518,0.22542322542322543,0.2254232254232254,0.9999999999999994,0.36791080950042676,0.18395540475036354,0.5157262896368324,0.21552435597576192,0,5216,0,1518,"[[0, 5216], [0, 1518]]"
rawecgnet,RawECGNet,baseline,validation-selected threshold maximizing AFL-F1 on validation probabilities,0.9900000095367432,0.8960739030018096,6734,5216,1518,0.5807840807840808,0.346938775510204,0.9743083003952563,0.5116761805912057,0.5722163913235057,0.8763439189844564,0.5501330108351714,2432,2784,39,1479,"[[2432, 2784], [39, 1479]]"
wang2021,Wang2021 BiLSTM,baseline,validation-selected threshold maximizing AFL-F1 on validation probabilities,0.9753000140190125,0.9052631578942353,6734,5216,1518,0.5920700920700921,0.3549681378333726,0.990777338603425,0.522675933970072,0.5832619913596631,0.9096390982039655,0.7345622490102522,2483,2733,14,1504,"[[2483, 2733], [14, 1504]]"
kraft2025,Kraft2025 ConvNeXt1D,baseline,validation-selected threshold maximizing AFL-F1 on validation probabilities,0.9900000095367432,0.8738317757004341,6734,5216,1518,0.49346599346599346,0.30750457596095176,0.9960474308300389,0.46993006992970926,0.49246539043211873,0.8898755577244841,0.6319978711149267,1811,3405,6,1512,"[[1811, 3405], [6, 1512]]"
fleury2024,Fleury2024 modular,baseline,validation-selected threshold maximizing AFL-F1 on validation probabilities,0.9272800087928772,0.9272281275546905,6734,5216,1518,0.47995247995247997,0.2996768982229402,0.9776021080368901,0.45873261205528215,0.4791519590715475,0.7195582332056225,0.42978370858380593,1748,3468,34,1484,"[[1748, 3468], [34, 1484]]"
